,naming scheme,Classification,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,markdown_github,markdown_mmd,markdown_strict,Notes
paragraphs,,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,markdown_github,markdown_mmd,markdown_strict,
escaped_line_breaks,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
blank_before_header,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
header_attributes,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,,,,
auto_identifiers,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,markdown_github,markdown_mmd,,
implicit_header_references,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,markdown_mmd,,
blank_before_blockquote,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
fenced_code_blocks,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,markdown_github,,,
backtick_code_blocks,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,markdown_github,,,
fenced_code_attributes,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
line_blocks,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
fancy_lists,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
startnum,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
definition_lists,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,,markdown_mmd,,
example_lists,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
table_captions,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
simple_tables,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
multiline_tables,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
grid_tables,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
pipe_tables,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,markdown_github,markdown_mmd,,
pandoc_title_block,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
yaml_metadata_block,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
all_symbols_escapable,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,markdown_mmd,,
intraword_underscores,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,markdown_github,markdown_mmd,,
strikeout,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,markdown_github,,,
subscript,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
inline_code_attributes,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
tex_math_dollars,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
raw_html,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,markdown_github,markdown_mmd,markdown_strict,
markdown_in_html_blocks,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
native_divs,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
native_spans,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
raw_tex,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
latex_macros,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
shortcut_reference_links,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,markdown_github,markdown_mmd,,
implicit_figures,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
link_attributes,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,,,,
bracketed_spans,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
footnotes,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,markdown_phpextra,,markdown_mmd,,
inline_notes,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
citations,pandoc extension,,markdown_pandoc,markdown_pandoc_extended,,,,,
lists_without_preceding_blankline,pandoc extension,,,markdown_pandoc_extended,,,,,
hard_line_breaks,pandoc extension,,,markdown_pandoc_extended,,markdown_github,,,
ignore_line_breaks,pandoc extension,,,markdown_pandoc_extended,,,,,
east_asian_line_breaks,pandoc extension,,,markdown_pandoc_extended,,,,,
emoji,pandoc extension,,,markdown_pandoc_extended,,markdown_github,,,
tex_math_single_backslash,pandoc extension,,,markdown_pandoc_extended,,,,,
tex_math_double_backslash,pandoc extension,,,markdown_pandoc_extended,,,markdown_mmd,,
markdown_attribute,pandoc extension,,,markdown_pandoc_extended,markdown_phpextra,,markdown_mmd,,
mmd_title_block,pandoc extension,,,markdown_pandoc_extended,,,markdown_mmd,,
abbreviations,pandoc extension,,,markdown_pandoc_extended,markdown_phpextra,,,,
autolink_bare_uris,pandoc extension,,,markdown_pandoc_extended,,markdown_github,,,
ascii_identifiers,pandoc extension,,,markdown_pandoc_extended,,markdown_github,,,
mmd_link_attributes,pandoc extension,,,markdown_pandoc_extended,,,markdown_mmd,,
mmd_header_identifiers,pandoc extension,,,markdown_pandoc_extended,,,markdown_mmd,,
compact_definition_lists,pandoc extension,,,markdown_pandoc_extended,,,,,
